observation_1,observation_2,hypothesis_1,hypothesis_2,label
Joe was helping his dad clear the woods in the back of their yard.,Joe was angry he got hurt.,Joe fell over a log and laughed about it.,Joe fell over a log and hurt himself.,2
Kelly and her friends went to a new ice cream shop.,She threw up.,Kelly tried blueberry without knowing she was allergic to the dye.,Kelly tried a new flavor and loved it.,1
Mary had been dying to see her favorite band.,"When they got there, Mary realized she left the tickets at home.",Mary was very excited.,Mary was very nervous.,1
I loved smoked salmon.,I contracted a bacterial infection from the smoked salmon.,I bought some smoked salmon from a very sketchy seller.,I didn't know how to cook it though and cooked it too long.,1
Han liked nature.,And Han enjoyed watering and taking care of his neighbor's plants.,Han's neighbor hired him as a window washer.,he often loved walking through the forest near the park and going on walking trails.,2
When I was sixteen I learned to drive.,My dad then took me to get my license.,My Mother taught me all the finer points.,I slept for weeks before my driver's test.,1
Ky was a little chubby and wanted to lose 20 pounds before summer.,"And by summer, she had lost the other ten!",She started exercising and lost 10 lbs in a few eeeks.,Ky gained 20 pounds and now aimed for 30.,1
Jake was biking at the park.,He put his dirty clothes into a plastic bag.,While biking Jake got very sweaty.,He biked through some mud puddles.,2
Joe needed a new desk.,Joe regretted his decision when the desk broke after two days.,Joe went to the goodwill to get him a new desk.,Joe went to the store to buy a new desk.,1
Joe was having a terrible time camping.,But he couldn't find his car keys.,Joe wanted to stay.,Joe had a flat tire in the wild.,2
Laura decided to fly all the way to New York City.,Laura wore a hat all week to hide her hair.,Laura cut her hair by mistake.,When Laura got there she realized she forgot shampoo.,2
Nate began writing stories for a few cents.,He was just writing to help scientific research.,He was getting paid close to nothing.,Nate was found by a researcher who paid him well.,1
I adopted a puppy.,The carrots worked perfectly!,I fed the puppy cooked beets.,I needed something for him to chew on.,2
We went on our first diving trip on Tuesday.,We decided we went on our last diving trip on Tuesday.,We were almost eaten by a shark.,We have never had a better time.,1
Jimmy grew up very poor.,Jimmy called his parents and cursed at them.,So he dropped out of school. And left home.,So he dropped out of the sky. And left home.,1
Sam's neck had been hurting recently.,His neck no longer hurt with the added support.,Sam got a neck brace from his father.,Sam purchase a neck brace to increase pain.,1
Our friend owns a restaurant.,The employee was not impressed.,Our friend kept the restaurant open after hours.,Our friend tried to impress the employees with a free meal.,1
Elle's chorus was having a bake sale to raise money for new robes.,The chorus had raised nearly half of what they needed in one day!,Elle made lots of cookies to give away free.,Elles chorus really wanted new robes.,2
Jim is shocked when he gets an amazing deal on a house.,Jim withdraws his offer and fires his real estate agent.,The house is full of moldy cheese.,he was being told a lie about the damage and forclouser.,2
Amy loved salad.,Amy loved the salad so much she returned with friends.,She tried a Thai salad at a new restaurant.,Salad went to a store to get Amy.,1
Fred is looking for ways to make his apartment feel more comfortable.,He feels happy that he has improved how his apartment feels.,He was thinking of selling cheap furniture and decorating it but then done in a trashy way.,Fred went to the store to get some new pictures.,2
Neil was touring haunted cities.,He definitely thought Erie was haunted!,"Neil thought he met an interesting person in Erie, PA.",He didn't believe in ghosts till he saw one in Erie.,2
Jim had a dog whom he loved very much.,"At last she was clean, and he promised never to let her be hurt again.",Jim's dog ran into the backyard and had tons of fun.,"One day, Jim's dog ran ahead during a walk and got stuck in a mud pit.",2
Jill was a very fashion conscious young girl.,"The drawing was so good, she was able to make a pattern out of it.",Jill showed her mom a picture of a dress she drew.,Jill drew something of a design.,1
One day Jordan had a friend over so they could play video games.,"Now when Jordan has a friend over, he makes sure they both play.",Jordan's friend got bored when Jordan kept playing alone.,Jordan's friend wanted to take turns.,1
Neil was visiting Romania.,Neil decided to never return to Transylvania.,Neil's hotel was very dirty and unfriendly.,Neil lost his luggage in Kansas.,1
A man went out early one morning.,"He resolved, next time, to check the day's overall forecast.",It started raining on the man.,It started raining and she didn't have an umbrella.,1
Joe went to the restaurant for wings.,Joe got to finally enjoy his wings.,Joe ordered his favorite sushi at the restaurant.,Joe got lost on the way to the restaurant and it took him really long to find it.,2
Emily had a paper due for class.,"The next day, Emily's paper was not done.",Emily planned to pull an all-nighter but fell asleep.,Emily refused to go to a party and instead worked on it.,1
Tim had a problem.,He was so amazed at the sight that he was no longer scared.,Tim then got headphones to help with his hearing.,Tim was scared to go to the new school.,2
Nina was at the skating rink.,"Luckily, the girl left.",A teacher from Nina's school was also at the rink.,Her biggest rival tried to start a fight.,2
Jimmy needed a new pair of pants.,Jimmy bought the pants he wanted.,Jimmy had a jar of coins he saved for years.,Jimmy decided to make himself a pair of pants.,1
Nancy was looking for a place to eat.,They looked at her with a mean grin.,The only available table was full of Nancy's enemies.,She walked up to a local library where many girls were eating.,1
Andy always helped his Dad plant trees.,The tree reminds Andy of his Dad.,Andy planted a tree.,Andy's dad never passed away.,1
Tina and Mark were looking for a new house.,I feel sorry for the builder they hired!,They decided to have it built to random specifications.,"Tina and Mark had many wild ideas, so the decided to build a house.",2
Tim had a pet frog.,Tim buried his frog that day.,Tim's frog got eaten by a dog.,Unfortunately Tim's frog passed away.,2
